date,avgtempUSA,avgtempGermany,avgtempSweden,avgtempVenezuela,avgtempDemoCongo,avgtempIndonesia,avgtempArgentina,avgtempNewZealand,avgtempSouthAfrica,avgtempGlobal,five_yr_change_Global,five_yr_change_USA,five_yr_change_Germany,five_yr_change_Sweden,five_yr_change_Venezuela,five_yr_change_DemoCongo,five_yr_change_Indonesia,five_yr_change_Argentina,five_yr_change_NewZealand,five_yr_change_SouthAfrica
1855,8.194533333333336,7.7668333333333335,2.0664666666666673,24.488200000000003,23.232218749999998,25.202250000000003,13.814910714285716,9.59483333333333,16.648777777777777,14.894016666666671,,,,,,,,,,
1860,8.45455,7.8031,1.941983333333333,24.453849999999992,23.146108108108102,,13.971783333333338,10.124266666666664,16.78577586206897,14.851183333333335,-0.04283333333333594,0.26001666666666345,0.036266666666666225,-0.12448333333333439,-0.03435000000001054,-0.08611064189189577,,0.15687261904762195,0.5294333333333334,0.13699808429119287
1865,8.371533333333334,8.4247,1.746516666666667,24.77571666666667,,25.311750000000004,14.362866666666664,10.280649999999998,17.052033333333334,15.054949999999995,0.20376666666665955,-0.08301666666666563,0.6215999999999999,-0.195466666666666,0.3218666666666792,,,0.39108333333332546,0.1563833333333342,0.26625747126436394
1870,8.473616666666667,7.821083333333333,2.1048500000000003,24.6928,,25.170466666666666,14.014883333333325,10.176800000000002,16.819071428571426,15.007166666666667,-0.04778333333332796,0.10208333333333286,-0.6036166666666665,0.3583333333333334,-0.08291666666667297,,-0.14128333333333742,-0.34798333333333886,-0.103849999999996,-0.2329619047619076
1875,8.469133333333332,7.730266666666668,1.5493999999999999,24.98516666666666,23.362962264150944,25.28563333333333,14.275983333333334,10.1772,16.7518,15.107166666666664,0.09999999999999787,-0.004483333333334727,-0.09081666666666521,-0.5554500000000004,0.29236666666666267,,0.11516666666666353,0.26110000000000966,0.0003999999999972914,-0.0672714285714271
1880,8.204799999999999,8.034016666666668,2.287516666666666,24.353900000000003,23.05968333333333,25.216333333333345,14.150716666666677,10.044583333333334,16.857135593220338,14.989783333333333,-0.11738333333333095,-0.2643333333333331,0.30374999999999996,0.7381166666666661,-0.631266666666658,-0.3032789308176156,-0.06929999999998415,-0.12526666666665776,-0.1326166666666655,0.10533559322033881
1885,8.29095,7.412733333333335,1.9514,24.630133333333337,23.28541666666667,25.235616666666665,13.951650000000004,9.841066666666665,16.999283333333327,14.922633333333334,-0.06714999999999982,0.08615000000000173,-0.6212833333333325,-0.33611666666666595,0.2762333333333338,0.22573333333334133,0.019283333333319774,-0.19906666666667228,-0.203516666666669,0.14214774011298914
1890,8.338333333333333,7.715650000000002,2.275483333333333,24.389616666666665,23.19535000000001,25.11048333333333,14.05308333333333,10.248800000000001,16.79226666666666,14.898816666666667,-0.02381666666666682,0.047383333333332445,0.3029166666666665,0.32408333333333283,-0.2405166666666716,-0.09006666666666163,-0.1251333333333342,0.10143333333332549,0.4077333333333364,-0.20701666666666796
1895,8.279766666666665,8.002483333333332,2.2755333333333327,24.69449999999999,23.523783333333334,25.321100000000005,14.5387,9.835599999999998,16.924299999999995,15.014033333333334,0.11521666666666697,-0.058566666666667544,0.2868333333333304,4.999999999988347e-05,0.3048833333333256,0.3284333333333258,0.21061666666667378,0.4856166666666706,-0.41320000000000334,0.1320333333333359
1900,8.429683333333333,8.038516666666668,1.858666666666667,24.930533333333333,23.62656666666667,25.356950000000015,14.609233333333334,9.647766666666667,16.848733333333335,14.964516666666666,-0.04951666666666732,0.1499166666666678,0.036033333333335804,-0.41686666666666583,0.2360333333333422,0.10278333333333478,0.035850000000010596,0.07053333333333356,-0.1878333333333302,-0.0755666666666599
